R48 L 路 升温三候选量探针　场转储（每片按 x 列的廓线：x 区间 / 有料面积 / 面积加权平均温度）　开跑 2026-09-17 00:00:28　2026-09-16 Opus 5
── 设定点 300 °C　夹头 100 °C　片 0「入口」　T管根 335.1355 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
── 设定点 600 °C　夹头 450 °C　片 2「出口」　T管根 697.0532 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	450
1	-133	-122	660	450
2	-122	-111	660	450
3	-111	-100	660	450
4	-100	-96.165678	230.05932	486.73335
5	-96.165678	-85.165678	660	608.285577
6	-85.165678	-75.51206	579.21708	709.842767
7	-75.51206	-68.0862	445.5516	759.34581
8	-68.0862	-62.374	342.732	782.675919
9	-62.374	-57.98	263.64	793.652949
10	-57.98	-54.6	202.8	798.484166
11	-54.6	-52	156	800.196556
12	-52	-50	120	800.354219
13	-50	-48	120	799.715056
14	-48	-46	120	798.289116
15	-46	-44	120	796.05536
16	-44	-42	120	792.981265
17	-42	-40	120	789.02136
18	-40	-38	120	784.115067
19	-38	-36	120	778.183503
20	-36	-34	120	771.124741
21	-34	-32	120	762.806712
22	-32	-30	120	753.056364
23	-30	-28	120	741.63808
24	-28	-26	120	727.487333
25	-26	-24	94.875	717.18316
26	-24	-22	73.125	709.719656
27	-22	-20	60.125	703.385429
28	-20	-18	51	698.615988
29	-18	-16	43	695.234395
30	-16	-14	36.25	693.124502
31	-14	-12	30.625	692.144344
32	-12	-10	26.5	692.07647
33	-10	-8	23.125	692.70667
34	-8	-6	20.75	693.562352
35	-6	-4	19	694.463483
36	-4	-2	16	695.124426
37	-2	0	16	695.642304
38	0	2	15.125	695.972305
39	2	4	15	696.042294
40	4	6	17.25	696.069743
41	6	8	17.5	696.046816
42	8	10	17.375	696.058215
43	10	12	17.625	696.034074
44	12	14	18.875	696.038164
45	14	16	19.375	696.080559
46	16	18	22	696.038075
47	18	20	23.875	696.034416
48	20	22	25	696.052605
49	22	24	30	696.067567
50	24	26	41	696.133019
51	26	28	51.375	696.063971
52	28	30	27.375	695.828616
── 设定点 750 °C　夹头 100 °C　片 0「入口」　T管根 807.5539 °C　单元 1006　列 53　切点 x -0　压接入口 x -100　舌尖 x -140
k	X0_mm	X1_mm	Area_mm2	Tmean_C
0	-140	-133	420	100
1	-133	-122	660	100
2	-122	-111	660	100
3	-111	-100	660	100
4	-100	-96.165678	230.05932	159.160159
5	-96.165678	-85.165678	660	368.625531
6	-85.165678	-75.51206	579.21708	575.118201
7	-75.51206	-68.0862	445.5516	689.900117
8	-68.0862	-62.374	342.732	751.725161
9	-62.374	-57.98	263.64	786.595705
10	-57.98	-54.6	202.8	807.062752
11	-54.6	-52	156	819.476019
12	-52	-50	120	827.213998
13	-50	-48	120	832.798647
14	-48	-46	120	837.287652
15	-46	-44	120	840.71788
16	-44	-42	120	843.114306
17	-42	-40	120	844.488762
18	-40	-38	120	844.838003
19	-38	-36	120	844.140778
20	-36	-34	120	842.353326
21	-34	-32	120	839.402471
22	-32	-30	120	835.174816
23	-30	-28	120	829.494787
24	-28	-26	120	821.288045
25	-26	-24	94.875	813.422973
26	-24	-22	73.125	807.599425
27	-22	-20	60.125	803.356366
28	-20	-18	51	800.709365
29	-18	-16	43	799.193104
